,breed,type.x,contact_state,State_Full,state,# of non-kill shelters,# of shelters, % big dog friendly rentals, %small dog friendly rentals,% dog owners
228,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
229,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
230,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
231,Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
232,Shar-Pei,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
233,Pit Bull Terrier,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
234,Rat Terrier,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
235,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
236,Australian Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
237,Jack Russell Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
238,Irish Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
239,Yorkshire Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
240,Cairn Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
241,Australian Cattle Dog / Blue Heeler,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
242,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
243,American Staffordshire Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
244,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
245,Shih Tzu,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
246,Shih Tzu,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
247,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
248,Pit Bull Terrier,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
249,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
250,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
251,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
252,Pomeranian,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
253,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
254,American Staffordshire Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
255,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
256,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
257,Pomeranian,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
258,Lhasa Apso,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
259,Chihuahua,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
260,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
261,American Bulldog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
262,Mastiff,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
263,American Bulldog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
264,American Bulldog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
265,Labrador Retriever,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
266,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
267,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
268,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
269,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
270,Beagle,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
271,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
272,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
273,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
274,Cattle Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
275,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
276,Australian Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
277,Boxer,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
278,Mixed Breed,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
279,Shar-Pei,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
280,Mastiff,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
281,Husky,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
282,Cattle Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
283,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
284,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
285,Australian Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
286,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
287,Labrador Retriever,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
